place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Countryside,Loudoun County,Northern Virginia,Suburban,1797,1142.36,95.83,0.4902,0.25,0.3481,0.0842,0.3607,0.0379,0.2573,0.0931
County Center,Prince William County,Northern Virginia,Suburban,1810,922.15,91.25,0.4748,3.5,0.4546,0.1404,0.5515,0.0477,0.2611,0.1363
Covington,Covington city,Roanoke-New River,Exurban,953,425.02,88.17,0.3684,3.64,0.4485,0.417,0.1979,0.0325,0.2193,0.183
Crosspointe,Fairfax County,Northern Virginia,Suburban,1315,831.5,98.75,0.5203,2.43,0.2907,0.0308,0.3242,0.0164,0.2123,0.1777
Crozet,Albemarle County,Central Virginia,Suburban,855,735.49,94.9,0.4336,0.85,0.0195,0.16,0.0664,0.0475,0.2666,0.1824
Culpeper,Culpeper County,Northern Virginia,Suburban,1973,1193.61,66.0,0.2818,1.93,0.5118,0.2652,0.418,0.0473,0.2506,0.1334
Dale City,Prince William County,Northern Virginia,Suburban,1764,1999.93,93.85,0.4481,2.16,0.5188,0.218,0.7304,0.0562,0.2639,0.0999
Daleville,Botetourt County,Roanoke-New River,Exurban,1460,336.47,89.5,0.3355,-4.26,0.2051,0.0592,0.0864,0.0627,0.1907,0.2528
Danville,Danville city,Southside Virginia,Suburban,1150,553.29,89.97,0.4791,2.96,0.5119,0.5067,0.6085,0.0635,0.2194,0.2073
Dayton,Rockingham County,Shenandoah Valley,Exurban,944,365.89,73.0,0.1786,-0.69,0.4256,0.2911,0.3925,0.0182,0.2518,0.1231
Difficult Run,Fairfax County,Northern Virginia,Suburban,1964,511.71,100.0,0.6771,-5.73,0.2863,0.0303,0.2747,0.0193,0.2798,0.1678
Dooms,Augusta County,Shenandoah Valley,Suburban,1503,706.25,93.5,0.4518,-5.84,0.4597,0.1723,0.0453,0.0,0.214,0.1771
Doran,Tazewell County,Southwest Virginia,Suburban,809,1528.72,90.0,0.412,1.44,0.8364,0.7108,0.0049,0.2719,0.3375,0.1768
Dranesville,Fairfax County,Northern Virginia,Suburban,1556,1217.13,97.25,0.4946,1.53,0.2724,0.0474,0.3158,0.0371,0.2049,0.1416
Dublin,Pulaski County,Roanoke-New River,Suburban,1440,728.19,72.33,0.2259,0.47,0.4659,0.238,0.0723,0.0297,0.1668,0.1619
Dulles Town Center,Loudoun County,Northern Virginia,Suburban,1871,898.77,76.33,0.2233,10.4,0.4477,0.1912,0.6944,0.0215,0.1955,0.0472
Dumbarton,Henrico County,Richmond Metro,Suburban,825,1842.37,89.3,0.3681,9.06,0.3434,0.4206,0.5526,0.0554,0.1701,0.2105
Dumfries,Prince William County,Northern Virginia,Suburban,1655,1381.43,83.0,0.3349,2.51,0.6775,0.3592,0.8228,0.0324,0.4066,0.0747
Dunn Loring,Fairfax County,Northern Virginia,Urban Core,2175,1772.19,92.2,0.4037,5.27,0.2699,0.0772,0.4274,0.0431,0.2609,0.1444
East Highland Park,Henrico County,Richmond Metro,Suburban,1667,926.05,89.0,0.3842,3.73,0.3579,0.2723,0.9005,0.0436,0.2219,0.1478
East Lexington,Rockbridge County,Shenandoah Valley,Suburban,1646,695.36,96.33,0.4649,-4.02,0.401,0.2962,0.0856,0.0345,0.1782,0.2321
East Stone Gap,Wise County,Southwest Virginia,Urban Core,2070,3943.61,95.0,0.4377,-0.61,0.4987,0.37,0.0816,0.0115,0.2019,0.214
Elkton,Rockingham County,Shenandoah Valley,Suburban,1367,751.69,88.5,0.3087,0.35,0.3158,0.2384,0.0715,0.0157,0.1918,0.2018
Emporia,Emporia city,Southside Virginia,Exurban,823,497.67,91.29,0.431,1.18,0.7765,0.4809,0.7243,0.1094,0.2696,0.1762
Enon,Chesterfield County,Richmond Metro,Suburban,1889,390.02,99.33,0.5317,-1.76,0.2571,0.1221,0.3986,0.0302,0.2327,0.1374
Ettrick,Chesterfield County,Richmond Metro,Suburban,1198,701.75,93.6,0.5098,-3.12,0.3359,0.3588,0.7828,0.1033,0.1467,0.1335
Fair Lakes,Fairfax County,Northern Virginia,Suburban,1684,1561.75,88.17,0.3142,9.49,0.2424,0.1238,0.5375,0.0222,0.1757,0.1175
Fair Oaks,Fairfax County,Northern Virginia,Urban Core,1711,2505.9,91.8,0.3426,9.77,0.2437,0.1466,0.4905,0.0435,0.1799,0.0874
Fairfax,Fairfax city,Northern Virginia,Suburban,1411,1478.59,93.41,0.4113,7.3,0.3576,0.1888,0.4414,0.0376,0.226,0.1475
Fairfax Station,Fairfax County,Northern Virginia,Suburban,1914,718.24,99.86,0.6511,-2.35,0.3013,0.0462,0.2347,0.0475,0.2155,0.1855
Fairlawn,Pulaski County,Roanoke-New River,Exurban,1489,412.27,81.5,0.3316,-0.3,0.3548,0.281,0.1389,0.0519,0.1172,0.2943
Falls Church,Falls Church city,Northern Virginia,Urban Core,1449,2734.56,96.6,0.4271,6.31,0.2806,0.0582,0.3236,0.0424,0.2458,0.1182
Falls Mills,Tazewell County,Southwest Virginia,Suburban,1489,582.79,100.0,0.6652,-2.96,0.4531,0.6052,0.3032,0.021,0.152,0.1781
